Country and region,"General government
gross debt 2024","Gross debt
2022","Net debt
2021"
Afghanistan,-,-,
Albania,58,67.581,64.1
Algeria,46.4,52.397,51.9
Andorra,34.7,38.788,
Angola,70.3,67.050,
Antigua and Barbuda,76.4,90.562,
Argentina,86.2,84.466,
Armenia,53.1,49.273,
Aruba,76.2,92.004,
Australia,49.6,55.702,34.6
Austria,75.4,77.786,60.6
Azerbaijan,18.3,20.675,
Bahamas,84,89.414,
Bahrain,126.7,117.587,
Bangladesh,41.4,39.088,
Barbados,107.5,120.781,134.3
Belarus,48.6,39.753,
Belgium,105,105.270,93.7
Belize,62.9,64.141,
Benin,53.4,52.386,
Bhutan,111.4,124.795,
Bolivia,86.7,82.616,70.6
Bosnia and Herzegovina,29.7,29.556,22.0
Botswana,17.9,19.949,14.2
Brazil,86.7,85.906,57.2
Brunei Darussalam,2.3,2.063,
Bulgaria,23.4,21.844,13.7
Burkina Faso,63.3,54.309,
Burundi,72.2,68.300,
Cape Verde,112.2,127.407,130.5
Cambodia,26.4,36.533,
Cameroon,39.2,46.432,44.1
Canada,104.7,106.590,31.6
Central African Republic,55.6,50.687,
Chad,32.3,50.367,
Chile,40.5,37.977,20.1
China,88.6,77.097,
Colombia,54.4,63.626,56.8
Comoros,35.5,29.064,
Democratic Republic of the Congo,11.1,14.580,
Republic of the Congo,94.6,99.565,
Costa Rica,60.6,63.768,
Côte d'Ivoire,57.7,56.750,
Croatia,59.5,67.535,
Cuba,-,-,
Cyprus,70.7,86.501,51.0
Czech Republic,45.1,42.349,26.4
Denmark,29.2,29.658,11.0
Djibouti,56.5,40.614,45.8
Dominica,98.7,104.788,
Dominican Republic,59.5,58.919,49.3
Ecuador,56.5,57.303,
Egypt,96.4,88.534,84.5
El Salvador,84.4,77.236,
Equatorial Guinea,37.7,27.147,29.7
Eritrea,-,163.769,
Estonia,23,17.160,4.4
Eswatini,37.2,45.353,38.0
Ethiopia,30.5,46.372,49.6
Fiji,81.1,92.802,82.2
Finland,81.4,74.807,34.1
France,111.6,111.063,101.1
Gabon,73.1,55.054,
Gambia,64.3,83.952,
Georgia (country),38.8,39.772,
Germany,63.7,66.535,47.0
Ghana,83.6,88.767,77.3
Greece,159,177.434,
Grenada,61.2,64.508,
Guatemala,27.6,30.127,
Guinea,35.1,33.404,
Guinea-Bissau,76.5,79.529,
Guyana,31.2,27.809,38.4
Haiti,14.9,25.010,
Honduras,44.6,50.022,
Hong Kong SAR,9,4.255,
Hungary,73.5,76.351,69.8
Iceland,58.7,68.726,59.5
India,82.5,83.126,
Indonesia,39.3,39.934,37.9
Iran,25.5,34.006,36.1
Iraq,48.2,43.300,
Ireland,41.2,45.190,50.4
Israel,67.3,60.931,65.1
Italy,136.9,144.696,138.3
Jamaica,67.5,84.124,
Japan,251.2,261.289,168.1
Jordan,91.4,89.425,91.8
Kazakhstan,24.2,23.497,-3.3
Kenya,73,67.936,62.6
Kiribati,9.9,15.214,
South Korea,56.6,54.331,20.9
North Korea,-,-,
Kosovo,18.4,19.319,
Kuwait,7.1,2.923,
Kyrgyz Republic,47.2,53.528,
Laos,115.5,128.514,
Latvia,43.2,41.609,34.5
Lebanon,-,-,
Lesotho,63.2,57.907,17.5
Liberia,56.5,55.366,48.6
Libya,-,-,
Lithuania,36.2,39.561,39.8
Luxembourg,28,24.305,-10.8
Macau,0,0.000,
Madagascar,56.1,56.989,
Malawi,74.9,70.139,
Malaysia,66.4,66.265,
Maldives,121.1,114.943,
Mali,55.1,53.218,44.8
Malta,53.6,55.829,46.2
Marshall Islands,17.3,21.196,
Mauritania,48.5,47.740,48.6
Mauritius,81,80.869,
Mexico,55.6,56.029,49.9
Micronesia,10.6,14.026,
Moldova,37.3,33.523,
Mongolia,47.9,82.427,
Montenegro,62.3,71.231,
Morocco,70.4,68.788,68.4
Mozambique,96.9,104.516,
Myanmar,58.5,63.896,
Namibia,65.4,71.278,70.8
Nauru,23.4,24.265,
Nepal,43,43.830,
Netherlands,47.7,48.507,42.8
New Zealand,47.4,52.792,14.5
Nicaragua,39.2,45.956,
Niger,48.9,51.076,45.0
Nigeria,46.6,38.017,36.2
North Macedonia,54.6,51.799,52.3
Norway,38,39.603,-86.7
Oman,35.4,40.148,25.5
Pakistan,71.8,75.753,67.4
Palau,80,-,
Panama,54.1,54.892,40.8
Papua New Guinea,52.1,49.193,
Paraguay,43.1,40.870,33.4
Peru,33,33.373,19.2
Philippines,56.9,57.520,
Poland,55.1,49.577,40.8
Portugal,94.7,116.048,120.1
Puerto Rico,17.2,16.312,
Qatar,37.3,45.308,
Romania,53,48.728,42.3
Russia,20.8,19.597,
Rwanda,69.9,64.425,
Saint Kitts and Nevis,51.7,64.752,
Saint Lucia,75.8,83.484,
Saint Vincent and the Grenadines,87.5,86.799,
Samoa,29.1,43.727,
San Marino,68.7,81.166,
São Tomé and Príncipe,42.6,58.099,
Saudi Arabia,27.5,22.573,17.7
Senegal,72.5,74.970,
Serbia,49.1,53.539,52.6
Seychelles,58.3,63.427,62.4
Sierra Leone,69.7,98.848,
Singapore,175.2,134.159,
Slovakia,59.3,58.821,51.3
Slovenia,67.5,70.245,49.5
Solomon Islands,19.8,16.853,7.3
Somalia,-,-,-
South Africa,75.4,71.016,63.2
South Sudan,48.3,39.639,64.6
Spain,106.3,111.978,102.8
Sri Lanka,-,117.661,-
Sudan,344.4,127.552,-
Suriname,87.9,123.158,-
Sweden,36,31.686,8.5
Switzerland,36.7,39.122,21.6
Syria,-,-,-
Taiwan,22.5,27.465,26.5
Tajikistan,30.8,34.631,-
Tanzania,46.1,41.622,-
Thailand,64.5,60.542,-
Timor-Leste,14.2,7.490,-
Togo,68.3,68.037,-
Tonga,43.8,46.581,
Trinidad and Tobago,56,53.750,11.5
Tunisia,78.6,79.364,
Turkey,29.5,31.178,33.8
Turkmenistan,4.7,5.186,
Tuvalu,7,7.587,
Uganda,49.7,50.834,
Ukraine,95.6,81.693,
United Arab Emirates,30.3,29.958,
United Kingdom,101.8,102.636,84.3
United States,121,121.683,99.6
Uruguay,61.9,61.000,54.7
Uzbekistan,36,34.295,
Vanuatu,44,45.752,
Venezuela,-,157.809,
Vietnam,33.5,37.091,
Palestinian territories,-,59.776,
Yemen,81.4,73.531,69.3
Zambia,-,-,117.5
Zimbabwe,98.5,92.824,
